Funzione,Periodo,Durata (s),Energia Totale (J),Potenza Media (W),Deviazione Standard,Run Validate
Funz_AggiungiFilm,After,9.2729,42.84936981201173,4.621013635754455,0.8972237043674962,10
Funz_AggiungiFilm,Before,8.973400000000002,44.67981872558594,4.953284080260381,1.8005612943160696,10
Funz_AggiungiRecensione,After,9.0125,42.08988647460942,4.670165450281176,1.3893920369904549,10
Funz_AggiungiRecensione,Before,8.772200000000002,41.2729766845704,4.70243356324403,1.3323802130807358,10
Funz_EliminaRecensione,After,9.2334,42.700492858886676,4.624897826324201,0.7739166198170597,10
Funz_EliminaRecensione,Before,9.2925,52.67423858642578,5.668195812314595,1.9134070311012934,10
Funz_Login,After,9.1735,42.75055389404283,4.660313632692956,0.9662744273952717,10
Funz_Login,Before,8.355,32.75651397705078,3.920363272366351,0.7484247727947859,10
Funz_MettiLike,After,8.055299999999999,49.21379089355396,6.0850765838590535,1.9379914707863413,10
Funz_MettiLike,Before,9.174199999999999,43.06682586669922,4.694078007478854,0.8671406900599796,10
Funz_Registrazione,After,7.490599999999999,40.114683532715574,5.332326015294821,0.9039892135556036,10
Funz_Registrazione,Before,7.2901,38.907716369629085,5.335893070643789,1.0069517968935902,10
Funz_RicercaFilm,After,9.232800000000001,43.18533020019531,4.676661727080907,0.8996261588557758,10
Funz_RicercaFilm,Before,9.2735,48.775534057617094,5.259482389725575,1.4682231094094158,10
Funz_RimuoviFilm,After,7.2702,38.089674377443586,5.238790471586194,0.9552904500742054,10
Funz_RimuoviFilm,Before,7.17,38.073196411132855,5.30918294042721,0.9095890497732763,10
Funz_VisualizzaCatalogo,After,7.156699999999999,47.17641906738281,6.586410100058918,1.1161696689766258,10
Funz_VisualizzaCatalogo,Before,9.193299999999999,44.571372985839844,4.841595417270539,1.0613299113394699,10
